pair,publication_date,signal,single_leg,fwd_ret_1w,fwd_ret_2w,fwd_ret_4w,fwd_ret_8w
EUR/AUD,2011-01-28,-0.44686650690870994,False,-0.044100046157836914,-0.028500080108642578,-0.019100069999694824,0.002859950065612793
EUR/AUD,2011-02-04,-0.3271729393098237,False,0.015599966049194336,0.0037000179290771484,0.03579998016357422,0.028120040893554688
EUR/AUD,2011-02-11,0.28959941190812444,False,-0.011899948120117188,0.009400010108947754,0.0196000337600708,0.00950002670288086
EUR/AUD,2011-02-18,0.08587942217392674,False,0.02129995822906494,0.03209996223449707,0.07949995994567871,0.01849997043609619
EUR/AUD,2011-02-25,-0.2623445270901781,False,0.010800004005432129,0.010200023651123047,0.021960020065307617,-0.013299942016601562
EUR/AUD,2011-03-04,-0.19663285108816542,False,-0.000599980354309082,0.04739999771118164,-0.007679939270019531,-0.02129995822906494
EUR/AUD,2011-03-11,-0.4245166581485953,False,0.04799997806549072,0.01175999641418457,-0.010100007057189941,-0.006600022315979004
EUR/AUD,2011-03-18,-0.9957575655206179,False,-0.03623998165130615,-0.05507993698120117,-0.06099998950958252,-0.09013998508453369
EUR/AUD,2011-03-25,-0.9040367418773629,False,-0.01883995532989502,-0.02186000347137451,-0.03525996208190918,-0.047760009765625
EUR/AUD,2011-04-01,0.17989253400717975,False,-0.003020048141479492,-0.005920052528381348,-0.01362001895904541,-0.0404200553894043
EUR/AUD,2011-04-08,0.2821630127052601,False,-0.0029000043869018555,-0.013399958610534668,0.0034999847412109375,-0.010699987411499023
EUR/AUD,2011-04-15,0.1227803770230651,False,-0.010499954223632812,-0.0076999664306640625,-0.029139995574951172,0.0009000301361083984
EUR/AUD,2011-04-22,-0.015589699998401763,False,0.00279998779296875,0.016899943351745605,-0.01250004768371582,-0.009400010108947754
EUR/AUD,2011-04-29,-0.3092150945310057,False,0.014099955558776855,-0.02144002914428711,-0.026800036430358887,-0.00260007381439209
EUR/AUD,2011-05-06,-1.3142286816023492,False,-0.035539984703063965,-0.029399991035461426,-0.014199972152709961,-0.018000006675720215
EUR/AUD,2011-05-13,-0.8122886033425348,False,0.006139993667602539,-0.005360007286071777,0.03004002571105957,-0.0020600557327270508
EUR/AUD,2011-05-20,-0.6510923862638952,False,-0.011500000953674316,0.015200018882751465,0.0031000375747680664,-0.021600008010864258
EUR/AUD,2011-05-27,-0.0061641949176086674,False,0.02670001983642578,0.03540003299713135,0.024199962615966797,-0.00010001659393310547
EUR/AUD,2011-06-03,0.18595645421619034,False,0.008700013160705566,-0.012099981307983398,-0.003800034523010254,-0.053420066833496094
EUR/AUD,2011-06-10,-0.3518728152069863,False,-0.020799994468688965,-0.01120007038116455,-0.03210008144378662,-0.016900062561035156
EUR/AUD,2011-06-17,-0.2077082999426112,False,0.009599924087524414,0.008299946784973145,-0.024700045585632324,0.030900001525878906
EUR/AUD,2011-06-24,-0.19145020177943595,False,-0.0012999773025512695,-0.02090001106262207,-0.024299979209899902,0.025300025939941406
EUR/AUD,2011-07-01,-0.5493827592946479,False,-0.0196000337600708,-0.03299999237060547,-0.04962003231048584,0.02369999885559082
EUR/AUD,2011-07-08,-0.19373163786377456,False,-0.013399958610534668,-0.003399968147277832,0.015200018882751465,-0.0032999515533447266
EUR/AUD,2011-07-15,0.706023573696684,False,0.009999990463256836,-0.01662003993988037,0.05560004711151123,-0.009199976921081543
EUR/AUD,2011-07-22,1.1418241509075948,False,-0.026620030403137207,0.018599987030029297,0.04960000514984131,0.013159990310668945
EUR/AUD,2011-07-29,1.0647574817098295,False,0.045220017433166504,0.0722200870513916,0.07332003116607666,0.07702004909515381
EUR/AUD,2011-08-05,1.2086875449064414,False,0.027000069618225098,0.03100001811981201,-0.01849997043609619,0.04229998588562012
EUR/AUD,2011-08-12,-0.22462977453201627,False,0.003999948501586914,0.0010999441146850586,-0.06480002403259277,0.003199934959411621
EUR/AUD,2011-08-19,-0.5673604069030098,False,-0.0029000043869018555,-0.0494999885559082,-0.03644001483917236,-0.026800036430358887
EUR/AUD,2011-08-26,0.03281867281223666,False,-0.04659998416900635,-0.06589996814727783,0.0037000179290771484,-0.029799938201904297
EUR/AUD,2011-09-02,0.24648926465684545,False,-0.019299983978271484,0.01305997371673584,0.06079995632171631,-0.00466001033782959
EUR/AUD,2011-09-09,1.137571828874539,False,0.032359957695007324,0.06959998607635498,0.0679999589920044,0.01639997959136963
EUR/AUD,2011-09-16,1.150922061612823,False,0.037240028381347656,0.04773998260498047,0.009639978408813477,-0.002460002899169922
EUR/AUD,2011-09-23,1.2011243549202164,False,0.010499954223632812,-0.001600027084350586,-0.033499956130981445,-0.0326000452041626
EUR/AUD,2011-09-30,0.5523408126841298,False,-0.012099981307983398,-0.03810000419616699,-0.0654599666595459,-0.017299890518188477
EUR/AUD,2011-10-07,0.8106289987022188,False,-0.026000022888183594,-0.03189992904663086,-0.051599979400634766,-0.061100006103515625
EUR/AUD,2011-10-14,0.486577516583385,False,-0.005899906158447266,-0.027359962463378906,-0.012099981307983398,-0.04159998893737793
EUR/AUD,2011-10-21,0.9159517963068969,False,-0.02146005630493164,-0.019700050354003906,0.0008999109268188477,-0.035899996757507324
EUR/AUD,2011-10-28,0.9584434247778394,False,0.0017600059509277344,0.015259981155395508,0.04816007614135742,-0.037039995193481445
EUR/AUD,2011-11-04,0.6630163906656731,False,0.013499975204467773,0.020599961280822754,-0.00950002670288086,-0.0494999885559082
EUR/AUD,2011-11-11,0.5508123976477044,False,0.0070999860763549805,0.032900094985961914,-0.02950000762939453,-0.0931999683380127
EUR/AUD,2011-11-18,0.9091931385325273,False,0.025800108909606934,-0.030099987983703613,-0.03679990768432617,-0.10739994049072266
EUR/AUD,2011-11-25,0.8095141501403342,False,-0.05590009689331055,-0.062400102615356445,-0.08520007133483887,-0.12900006771087646
EUR/AUD,2011-12-02,0.9582603262130105,False,-0.0065000057220458984,-0.006699919700622559,-0.039999961853027344,-0.08369994163513184
EUR/AUD,2011-12-09,1.4391144006366567,False,-0.00019991397857666016,-0.022799968719482422,-0.06369996070861816,-0.08369994163513184
EUR/AUD,2011-12-16,2.014799314490804,False,-0.02260005474090576,-0.033300042152404785,-0.07060003280639648,-0.07820010185241699
EUR/AUD,2011-12-23,1.5208493557160132,False,-0.010699987411499023,-0.04089999198913574,-0.0437999963760376,-0.06690001487731934
EUR/AUD,2011-12-30,2.0389289458430078,False,-0.03020000457763672,-0.0372999906539917,-0.04369997978210449,-0.031100034713745117
EUR/AUD,2012-01-06,2.783766635334099,False,-0.0070999860763549805,-0.0029000043869018555,-0.019999980926513672,-0.01510000228881836
EUR/AUD,2012-01-13,3.3156398302542676,False,0.004199981689453125,-0.006399989128112793,-0.007600069046020508,0.0065000057220458984
EUR/AUD,2012-01-20,3.3401087001927405,False,-0.010599970817565918,-0.017099976539611816,-0.02310001850128174,-0.0010999441146850586
EUR/AUD,2012-01-27,4.126442947986254,False,-0.0065000057220458984,-0.0012000799179077148,0.012599945068359375,0.035899996757507324
EUR/AUD,2012-02-03,4.168503646839268,False,0.005299925804138184,-0.006000041961669922,0.0048999786376953125,0.055699944496154785
EUR/AUD,2012-02-10,3.660990375870883,False,-0.011299967765808105,0.01380002498626709,0.014100074768066406,0.03620004653930664
EUR/AUD,2012-02-17,3.679091663688311,False,0.025099992752075195,0.010900020599365234,0.02200007438659668,0.042530059814453125
EUR/AUD,2012-02-24,3.553694924014991,False,-0.014199972152709961,0.0003000497817993164,0.02330005168914795,0.023800015449523926
EUR/AUD,2012-03-02,3.1214919573190096,False,0.014500021934509277,0.011100053787231445,0.05079996585845947,0.039999961853027344
EUR/AUD,2012-03-09,2.4123125366339617,False,-0.003399968147277832,0.023000001907348633,0.022099971771240234,0.034399986267089844
EUR/AUD,2012-03-16,2.3399777744034855,False,0.026399970054626465,0.03969991207122803,0.020529985427856445,0.04219996929168701
EUR/AUD,2012-03-23,0.9658971444537549,False,0.013299942016601562,-0.0009000301361083984,0.0004999637603759766,0.013499975204467773
EUR/AUD,2012-03-30,1.7686711833274167,False,-0.014199972152709961,-0.019169926643371582,-0.010800004005432129,0.0006999969482421875
EUR/AUD,2012-04-06,1.0645888961262027,False,-0.004969954490661621,0.001399993896484375,0.01230001449584961,0.0029000043869018555
EUR/AUD,2012-04-13,0.901519453552508,False,0.006369948387145996,0.008369922637939453,0.021669983863830566,0.0044699907302856445
EUR/AUD,2012-04-20,1.6089581614826574,False,0.001999974250793457,0.010900020599365234,0.013000011444091797,-0.00950002670288086
EUR/AUD,2012-04-27,1.373739887098315,False,0.008900046348571777,0.013300061225891113,0.011500000953674316,-0.023099899291992188
EUR/AUD,2012-05-04,1.5662962290642217,False,0.004400014877319336,0.0020999908447265625,-0.009400010108947754,-0.04117000102996826
EUR/AUD,2012-05-11,0.7120111836136955,False,-0.0023000240325927734,-0.0018000602722167969,-0.017199993133544922,-0.0802299976348877
EUR/AUD,2012-05-18,0.10801279094971994,False,0.0004999637603759766,-0.011500000953674316,-0.022500038146972656,-0.08000004291534424
EUR/AUD,2012-05-25,-0.6202183873175819,False,-0.011999964714050293,-0.015399932861328125,-0.034599900245666504,-0.10609996318817139
EUR/AUD,2012-06-01,-1.281187915780173,False,-0.003399968147277832,-0.01100003719329834,-0.03176999092102051,-0.09080004692077637
EUR/AUD,2012-06-08,-1.6280879473158723,False,-0.007600069046020508,-0.01919996738433838,-0.06303000450134277,-0.10390007495880127
