id,pair,direction,closed_at,outcome_if_extended,days_to_resolve
1342,AUD/NZD,BUY,2026-07-23 05:10:57,TARGET,3.0
1343,GBP/JPY,SELL,2026-07-23 05:10:57,TARGET,5.0
1345,AUD/USD,SELL,2026-07-26 18:10:48,TARGET,3.0
1347,GBP/USD,SELL,2026-07-24 05:11:04,TARGET,1.0
1348,NZD/USD,SELL,2026-07-24 05:11:04,TARGET,1.0
1349,GBP/JPY,SELL,2026-07-27 05:11:07,TARGET,2.0
1352,GBP/CAD,SELL,2026-07-24 05:11:04,TARGET,1.0
1354,GBP/CHF,SELL,2026-07-24 05:11:04,STOP,15.0
1355,EUR/JPY,SELL,2026-07-27 05:11:07,STOP,3.0
1356,AUD/CAD,BUY,2026-07-27 05:11:07,TARGET,1.0
1358,EUR/GBP,BUY,2026-07-24 05:11:04,TARGET,1.0
1360,NZD/JPY,SELL,2026-07-24 05:11:04,TARGET,4.0
1362,EUR/AUD,SELL,2026-07-27 05:11:07,TARGET,1.0
1364,NZD/CHF,SELL,2026-07-24 05:11:04,STOP,15.0
1365,USD/CAD,BUY,2026-07-24 05:11:04,TARGET,1.0
1370,AUD/NZD,BUY,2026-07-24 05:11:04,TARGET,2.0
1371,EUR/CAD,BUY,2026-07-24 05:11:04,TARGET,4.0
1375,CHF/JPY,SELL,2026-07-24 05:11:05,TARGET,1.0
1377,CAD/JPY,SELL,2026-07-29 05:11:00,TARGET,1.0
1379,GBP/JPY,SELL,2026-07-29 05:11:00,TARGET,1.0
1380,AUD/CAD,BUY,2026-07-29 05:11:01,TARGET,1.0
1383,NZD/JPY,SELL,2026-07-26 18:10:48,TARGET,4.0
1386,GBP/CHF,SELL,2026-07-26 18:10:48,STOP,9.0
1388,USD/CAD,BUY,2026-07-26 18:10:48,TARGET,1.0
1390,EUR/GBP,BUY,2026-07-24 05:11:05,TARGET,1.0
1391,CHF/JPY,SELL,2026-07-26 18:10:48,TARGET,1.0
1395,EUR/CAD,BUY,2026-07-29 05:11:01,TARGET,1.0
1396,GBP/NZD,BUY,2026-07-26 18:10:48,STOP,4.0
1397,AUD/USD,BUY,2026-07-29 05:11:01,TARGET,1.0
1399,NZD/USD,SELL,2026-07-26 18:10:48,TARGET,1.0
1401,GBP/USD,SELL,2026-07-26 18:10:48,TARGET,1.0
1404,GBP/CAD,SELL,2026-07-26 18:10:49,TARGET,2.0
1405,EUR/AUD,SELL,2026-07-29 05:11:01,STOP,1.0
1407,NZD/USD,SELL,2026-07-27 05:11:08,TARGET,1.0
1408,GBP/USD,SELL,2026-07-27 05:11:08,TARGET,1.0
1409,EUR/NZD,BUY,2026-07-27 05:11:08,TARGET,1.0
1411,CAD/JPY,SELL,2026-07-30 05:11:04,TARGET,1.0
1413,GBP/JPY,SELL,2026-07-30 05:11:04,TARGET,1.0
1417,NZD/JPY,SELL,2026-07-27 05:11:08,TARGET,3.0
1419,GBP/CAD,SELL,2026-07-27 05:11:08,TARGET,1.0
1421,GBP/CHF,SELL,2026-07-27 05:11:08,TARGET,3.0
1423,USD/CAD,BUY,2026-07-27 05:11:08,TARGET,1.0
1424,NZD/CHF,SELL,2026-07-27 05:11:08,STOP,5.0
1426,EUR/GBP,BUY,2026-07-27 05:11:08,TARGET,1.0
1428,AUD/NZD,BUY,2026-07-27 05:11:08,TARGET,1.0
1429,GBP/AUD,SELL,2026-07-27 05:11:09,TARGET,1.0
1430,EUR/CAD,BUY,2026-07-27 05:11:09,TARGET,3.0
1432,CHF/JPY,SELL,2026-07-27 05:11:09,TARGET,1.0
1434,GBP/NZD,BUY,2026-07-27 05:11:09,STOP,5.0
1437,EUR/AUD,BUY,2026-07-27 05:11:09,TARGET,2.0
1439,AUD/USD,SELL,2026-07-30 05:11:04,STOP,4.0
1440,NZD/CAD,SELL,2026-07-27 05:11:09,TARGET,1.0
1442,AUD/CAD,BUY,2026-07-27 05:11:09,STOP,2.0
1444,GBP/USD,SELL,2026-07-28 03:35:24,TARGET,1.0
1447,AUD/JPY,SELL,2026-07-31 05:10:54,TARGET,1.0
1451,AUD/CAD,SELL,2026-07-31 05:10:54,STOP,3.0
1455,GBP/CAD,SELL,2026-07-28 03:35:24,TARGET,1.0
1456,GBP/CHF,SELL,2026-07-28 03:35:24,STOP,13.0
1457,EUR/AUD,BUY,2026-07-28 03:35:24,TARGET,2.0
1458,USD/CAD,SELL,2026-07-31 05:10:54,TARGET,1.0
1459,NZD/CHF,SELL,2026-07-28 03:35:24,UNRESOLVED,
1465,GBP/AUD,SELL,2026-07-28 03:35:24,TARGET,1.0
1466,EUR/CAD,BUY,2026-07-31 05:10:54,TARGET,1.0
1471,GBP/NZD,BUY,2026-07-28 03:35:24,TARGET,11.0
1473,GBP/AUD,BUY,2026-07-28 03:35:24,TARGET,2.0
1474,AUD/USD,SELL,2026-07-31 05:10:54,STOP,3.0
1475,NZD/CAD,SELL,2026-07-28 03:35:24,UNRESOLVED,
1478,EUR/NZD,BUY,2026-07-29 05:11:01,TARGET,1.0
1490,GBP/CAD,SELL,2026-07-29 05:11:01,TARGET,1.0
1491,AUD/CHF,SELL,2026-07-29 05:11:01,STOP,13.0
1492,GBP/CHF,SELL,2026-07-29 05:11:02,TARGET,1.0
1493,EUR/AUD,BUY,2026-07-29 05:11:02,TARGET,1.0
1494,USD/CAD,SELL,2026-07-29 05:11:02,TARGET,1.0
1496,NZD/CHF,SELL,2026-07-29 05:11:02,UNRESOLVED,
1497,EUR/GBP,BUY,2026-07-29 05:11:02,TARGET,1.0
1500,AUD/NZD,BUY,2026-07-29 05:11:02,STOP,1.0
1503,GBP/USD,SELL,2026-07-29 05:11:02,STOP,1.0
1506,GBP/NZD,BUY,2026-07-29 05:11:02,STOP,4.0
1508,NZD/CAD,SELL,2026-07-29 05:11:02,TARGET,1.0
1509,EUR/CAD,BUY,2026-08-02 18:09:35,TARGET,1.0
1516,AUD/CAD,SELL,2026-07-30 05:11:05,STOP,4.0
1519,EUR/CHF,SELL,2026-08-02 18:09:35,STOP,4.0
1520,GBP/CAD,SELL,2026-07-30 05:11:05,STOP,3.0
1521,AUD/CHF,SELL,2026-07-30 05:11:05,STOP,13.0
1522,GBP/CHF,SELL,2026-07-30 05:11:05,STOP,5.0
1524,USD/CAD,BUY,2026-07-30 05:11:05,STOP,1.0
1526,NZD/CHF,SELL,2026-07-30 05:11:05,STOP,2.0
1529,AUD/NZD,SELL,2026-07-30 05:11:05,TARGET,1.0
1530,GBP/AUD,BUY,2026-07-30 05:11:05,TARGET,2.0
1536,EUR/GBP,BUY,2026-07-30 05:11:06,TARGET,2.0
1540,GBP/CAD,BUY,2026-07-30 05:11:06,TARGET,1.0
1543,GBP/NZD,SELL,2026-08-02 18:09:35,TARGET,1.0
1546,GBP/USD,BUY,2026-07-30 05:11:06,TARGET,1.0
1547,GBP/USD,BUY,2026-07-31 05:10:55,TARGET,1.0
1548,EUR/NZD,SELL,2026-07-31 05:10:55,TARGET,1.0
1557,EUR/CHF,SELL,2026-08-03 05:09:49,STOP,3.0
1558,GBP/CAD,BUY,2026-07-31 05:10:55,TARGET,1.0
1559,AUD/CHF,SELL,2026-07-31 05:10:55,UNRESOLVED,
1560,GBP/CHF,SELL,2026-08-03 05:09:49,STOP,3.0
1564,NZD/CHF,SELL,2026-07-31 05:10:55,STOP,1.0
1568,AUD/NZD,SELL,2026-07-31 05:10:55,TARGET,1.0
1569,GBP/AUD,BUY,2026-07-31 05:10:55,TARGET,1.0
1571,AUD/CAD,SELL,2026-07-31 05:10:55,STOP,3.0
1572,EUR/GBP,BUY,2026-07-31 05:10:55,TARGET,3.0
1580,CAD/CHF,SELL,2026-08-04 05:10:58,UNRESOLVED,
1583,AUD/CHF,SELL,2026-08-02 18:09:36,STOP,8.0
1585,USD/CAD,SELL,2026-08-02 18:09:36,TARGET,1.0
1586,GBP/CHF,SELL,2026-08-02 18:09:36,STOP,6.0
1588,NZD/CHF,SELL,2026-07-30 05:11:07,STOP,5.0
1589,EUR/GBP,BUY,2026-08-02 18:09:36,TARGET,1.0
1594,GBP/AUD,BUY,2026-08-02 18:09:36,TARGET,1.0
1595,NZD/CAD,BUY,2026-08-02 18:09:36,TARGET,1.0
1602,CAD/CHF,SELL,2026-08-05 05:10:54,TARGET,1.0
1607,GBP/CAD,BUY,2026-08-02 18:09:36,TARGET,1.0
1608,USD/CAD,SELL,2026-08-02 18:09:36,TARGET,1.0
1609,GBP/CHF,SELL,2026-08-02 18:09:36,STOP,10.0
1610,USD/CHF,SELL,2026-08-02 18:09:36,TARGET,13.0
1611,NZD/CHF,SELL,2026-08-02 18:09:36,STOP,4.0
1612,EUR/GBP,BUY,2026-08-02 18:09:36,TARGET,1.0
1618,GBP/AUD,BUY,2026-08-02 18:09:36,TARGET,1.0
1619,NZD/CAD,BUY,2026-08-02 18:09:37,TARGET,1.0
1622,EUR/NZD,BUY,2026-08-02 18:09:37,TARGET,9.0
1638,AUD/CHF,SELL,2026-08-06 05:11:03,STOP,4.0
1651,GBP/AUD,BUY,2026-08-06 05:11:04,STOP,14.0
1656,USD/CAD,SELL,2026-08-03 05:09:49,TARGET,1.0
1657,EUR/GBP,BUY,2026-08-03 05:09:49,UNRESOLVED,
1659,AUD/CAD,SELL,2026-08-03 05:09:49,TARGET,6.0
1660,GBP/CHF,SELL,2026-08-03 05:09:49,STOP,3.0
1663,GBP/CAD,BUY,2026-08-03 05:09:49,TARGET,1.0
1671,CAD/CHF,SELL,2026-08-04 05:10:59,TARGET,1.0
1677,GBP/CHF,SELL,2026-08-04 05:10:59,STOP,2.0
1678,USD/CHF,SELL,2026-08-07 05:10:54,TARGET,9.0
1690,EUR/NZD,SELL,2026-08-07 05:10:54,TARGET,2.0
1695,GBP/CAD,BUY,2026-08-07 05:10:54,TARGET,1.0
1697,NZD/CAD,BUY,2026-08-04 05:10:59,TARGET,1.0
1709,CAD/CHF,SELL,2026-08-05 05:10:55,UNRESOLVED,
1716,GBP/CHF,SELL,2026-08-05 05:10:55,STOP,1.0
1719,EUR/GBP,SELL,2026-08-09 18:10:41,TARGET,1.0
1729,AUD/CHF,SELL,2026-08-05 05:10:55,STOP,1.0
1732,GBP/NZD,SELL,2026-08-09 18:10:41,STOP,4.0
