pair,bar_time,direction,bucket,ribbon_status,rib_against,rib_strongly_against,hf_conflict,status,gross_pips,net_pips,bars_to_resolve,hours_held,stop_pips
NZD/CHF,2026-08-24 00:00,SELL,would_F,ALIGNED_BULL,True,True,False,WIN,30.0,23.3,17,68.0,15
NZD/CHF,2026-08-24 04:00,BUY,clean,ALIGNED_BULL,False,False,False,LOSS,-15.0,-20.1,4,16.0,15
NZD/CHF,2026-08-24 04:00,SELL,would_F,ALIGNED_BULL,True,True,False,WIN,30.0,23.4,16,64.0,15
NZD/CHF,2026-08-24 08:00,BUY,clean,ALIGNED_BULL,False,False,False,LOSS,-15.0,-20.2,3,12.0,15
NZD/CHF,2026-08-24 08:00,SELL,would_F,ALIGNED_BULL,True,True,False,WIN,30.0,23.4,15,60.0,15
NZD/CHF,2026-08-24 12:00,BUY,clean,ALIGNED_BULL,False,False,False,LOSS,-15.0,-20.3,2,8.0,15
NZD/CHF,2026-08-24 12:00,SELL,would_F,ALIGNED_BULL,True,True,False,LOSS,-15.0,-21.6,15,60.0,15
NZD/CHF,2026-08-24 16:00,BUY,clean,CONVERGING,False,False,False,LOSS,-15.0,-20.3,1,4.0,15
NZD/CHF,2026-08-24 16:00,SELL,clean,CONVERGING,False,False,False,WIN,30.0,23.6,13,52.0,15
NZD/CHF,2026-08-24 20:00,BUY,clean,CONVERGING,False,False,False,LOSS,-15.0,-20.0,6,24.0,15
NZD/CHF,2026-08-24 20:00,SELL,clean,CONVERGING,False,False,False,WIN,30.0,23.7,12,48.0,15
NZD/CHF,2026-08-25 00:00,BUY,clean,CONVERGING,False,False,False,LOSS,-15.0,-20.0,5,20.0,15
NZD/CHF,2026-08-25 00:00,SELL,clean,CONVERGING,False,False,False,WIN,30.0,23.7,11,44.0,15
NZD/CHF,2026-08-25 04:00,BUY,clean,CONVERGING,False,False,False,LOSS,-15.0,-20.1,4,16.0,15
NZD/CHF,2026-08-25 04:00,SELL,clean,CONVERGING,False,False,False,WIN,30.0,23.8,10,40.0,15
NZD/CHF,2026-08-25 08:00,BUY,clean,ALIGNED_BULL,False,False,False,LOSS,-15.0,-20.2,3,12.0,15
NZD/CHF,2026-08-25 08:00,SELL,would_F,ALIGNED_BULL,True,True,False,WIN,30.0,23.9,9,36.0,15
NZD/CHF,2026-08-25 12:00,BUY,clean,ALIGNED_BULL,False,False,False,LOSS,-15.0,-20.3,2,8.0,15
NZD/CHF,2026-08-25 12:00,SELL,would_F,ALIGNED_BULL,True,True,False,WIN,30.0,24.0,8,32.0,15
NZD/CHF,2026-08-25 16:00,BUY,clean,ALIGNED_BULL,False,False,False,LOSS,-15.0,-20.3,1,4.0,15
NZD/CHF,2026-08-25 16:00,SELL,would_F,ALIGNED_BULL,True,True,False,WIN,30.0,24.0,7,28.0,15
NZD/CHF,2026-08-25 20:00,BUY,clean,ALIGNED_BULL,False,False,False,LOSS,-15.0,-20.0,6,24.0,15
NZD/CHF,2026-08-25 20:00,SELL,would_F,ALIGNED_BULL,True,True,False,WIN,30.0,24.1,6,24.0,15
NZD/CHF,2026-08-26 00:00,BUY,clean,ALIGNED_BULL,False,False,False,LOSS,-15.0,-20.0,5,20.0,15
NZD/CHF,2026-08-26 00:00,SELL,would_F,ALIGNED_BULL,True,True,False,WIN,30.0,24.2,5,20.0,15
NZD/CHF,2026-08-26 04:00,BUY,clean,CONVERGING,False,False,False,LOSS,-15.0,-20.1,4,16.0,15
NZD/CHF,2026-08-26 04:00,SELL,clean,CONVERGING,False,False,False,WIN,30.0,24.3,4,16.0,15
NZD/CHF,2026-08-26 08:00,BUY,clean,CONVERGING,False,False,False,LOSS,-15.0,-20.2,3,12.0,15
NZD/CHF,2026-08-26 08:00,SELL,clean,CONVERGING,False,False,False,WIN,30.0,24.4,3,12.0,15
NZD/CHF,2026-08-26 12:00,BUY,clean,CONVERGING,False,False,False,LOSS,-15.0,-20.3,2,8.0,15
NZD/CHF,2026-08-26 12:00,SELL,clean,CONVERGING,False,False,False,WIN,30.0,24.4,2,8.0,15
NZD/CHF,2026-08-26 16:00,BUY,clean,CONVERGING,False,False,False,LOSS,-15.0,-20.3,1,4.0,15
NZD/CHF,2026-08-26 16:00,SELL,clean,CONVERGING,False,False,False,WIN,30.0,24.5,1,4.0,15
NZD/CHF,2026-08-26 20:00,BUY,clean,CONVERGING,False,False,False,LOSS,-15.0,-20.0,6,24.0,15
NZD/CHF,2026-08-26 20:00,SELL,clean,CONVERGING,False,False,False,WIN,30.0,23.7,12,48.0,15
NZD/CHF,2026-08-27 00:00,BUY,clean,CONVERGING,False,False,False,LOSS,-15.0,-20.2,3,12.0,15
NZD/CHF,2026-08-27 00:00,SELL,clean,CONVERGING,False,False,False,WIN,30.0,24.2,5,20.0,15
NZD/CHF,2026-08-27 04:00,BUY,clean,CONVERGING,False,False,False,LOSS,-15.0,-20.1,4,16.0,15
NZD/CHF,2026-08-27 04:00,SELL,clean,CONVERGING,False,False,False,WIN,30.0,23.8,10,40.0,15
NZD/CHF,2026-08-27 08:00,BUY,clean,ALIGNED_BULL,False,False,False,LOSS,-15.0,-20.2,3,12.0,15
NZD/CHF,2026-08-27 08:00,SELL,would_F,ALIGNED_BULL,True,True,False,WIN,30.0,24.4,3,12.0,15
NZD/CHF,2026-08-27 12:00,BUY,clean,CONVERGING,False,False,False,LOSS,-15.0,-20.3,2,8.0,15
NZD/CHF,2026-08-27 12:00,SELL,clean,CONVERGING,False,False,False,LOSS,-15.0,-20.7,3,12.0,15
NZD/CHF,2026-08-27 16:00,BUY,clean,CONVERGING,False,False,False,LOSS,-15.0,-20.3,1,4.0,15
NZD/CHF,2026-08-27 16:00,SELL,clean,CONVERGING,False,False,False,LOSS,-15.0,-20.7,3,12.0,15
NZD/CHF,2026-08-27 20:00,BUY,clean,CONVERGING,False,False,False,LOSS,-15.0,-20.0,6,24.0,15
NZD/CHF,2026-08-27 20:00,SELL,clean,CONVERGING,False,False,False,WIN,30.0,24.1,6,24.0,15
NZD/CHF,2026-08-28 00:00,BUY,clean,CONVERGING,False,False,False,LOSS,-15.0,-20.3,2,8.0,15
NZD/CHF,2026-08-28 00:00,SELL,clean,CONVERGING,False,False,False,WIN,30.0,24.2,5,20.0,15
NZD/CHF,2026-08-28 04:00,BUY,clean,ALIGNED_BULL,False,False,False,LOSS,-15.0,-20.3,1,4.0,15
NZD/CHF,2026-08-28 04:00,SELL,would_F,ALIGNED_BULL,True,True,False,WIN,30.0,24.3,4,16.0,15
NZD/CHF,2026-08-28 08:00,BUY,clean,CONVERGING,False,False,False,LOSS,-15.0,-20.2,3,12.0,15
NZD/CHF,2026-08-28 08:00,SELL,clean,CONVERGING,False,False,False,WIN,30.0,24.4,3,12.0,15
NZD/CHF,2026-08-28 12:00,BUY,clean,LEANING_BULL,False,False,False,LOSS,-15.0,-20.3,2,8.0,15
NZD/CHF,2026-08-28 12:00,SELL,would_D_ribbon,LEANING_BULL,True,False,False,WIN,30.0,24.4,2,8.0,15
NZD/CHF,2026-08-28 16:00,BUY,clean,LEANING_BULL,False,False,False,LOSS,-15.0,-20.3,1,4.0,15
NZD/CHF,2026-08-28 16:00,SELL,would_D_ribbon,LEANING_BULL,True,False,False,WIN,30.0,24.5,1,4.0,15
NZD/CHF,2026-08-28 20:00,BUY,clean,LEANING_BULL,False,False,False,LOSS,-15.0,-19.9,7,28.0,15
NZD/CHF,2026-08-28 20:00,SELL,would_D_ribbon,LEANING_BULL,True,False,False,WIN,30.0,24.0,7,28.0,15
NZD/CHF,2026-08-30 20:00,BUY,clean,LEANING_BULL,False,False,False,LOSS,-15.0,-20.3,1,4.0,15
