pair,direction,publication_date,fired_side,fired_type,currency,fwd_5d,fwd_10d,fwd_20d
EUR/USD,BUY,2009-12-18,base,REVERSING,EUR,0.005000114440917969,0.004088401794433594,0.004191994667053223
EUR/USD,BUY,2009-12-25,base,REVERSING,EUR,-0.000911712646484375,0.0012035369873046875,-0.025798439979553223
EUR/USD,SELL,2010-03-19,base,UNWINDING,EUR,-0.012688994407653809,-0.0031992197036743164,-0.003290414810180664
EUR/USD,SELL,2010-06-18,base,UNWINDING,EUR,-0.001993417739868164,0.0178070068359375,0.05389702320098877
EUR/USD,SELL,2010-07-02,base,UNWINDING,EUR,0.007295727729797363,0.03609001636505127,0.04679739475250244
EUR/USD,SELL,2010-09-24,base,REVERSING,EUR,0.030299663543701172,0.06088376045227051,0.05977892875671387
EUR/USD,SELL,2010-10-01,base,REVERSING,EUR,0.030584096908569336,0.044989705085754395,0.015596628189086914
EUR/USD,SELL,2010-10-08,base,REVERSING,EUR,0.014405608177185059,-0.0011048316955566406,0.030002593994140625
EUR/USD,SELL,2010-10-15,quote,REVERSING,USD,-0.0155104398727417,-0.02939307689666748,-0.045101165771484375
EUR/USD,BUY,2010-10-29,quote,REVERSING,USD,0.04499006271362305,-0.015708088874816895,-0.04383528232574463
EUR/USD,BUY,2010-11-05,quote,REVERSING,USD,-0.06069815158843994,-0.05707049369812012,-0.10120141506195068
EUR/USD,BUY,2010-11-26,base,REVERSING,EUR,-0.012376070022583008,-0.009768486022949219,-0.02125871181488037
EUR/USD,BUY,2010-12-03,base,REVERSING,EUR,0.002607583999633789,0.00239717960357666,0.008525729179382324
EUR/USD,BUY,2010-12-10,base,REVERSING,EUR,-0.0002104043960571289,-0.011490225791931152,-0.026211857795715332
EUR/USD,SELL,2011-01-07,quote,REVERSING,USD,0.03733408451080322,0.04880797863006592,0.06446027755737305
EUR/USD,SELL,2011-01-21,base,REVERSING,EUR,0.025505542755126953,0.01565229892730713,0.01580071449279785
EUR/USD,BUY,2011-01-28,base,REVERSING,EUR,-0.009853243827819824,-0.012114167213439941,0.009691238403320312
EUR/USD,SELL,2011-01-28,base,REVERSING,EUR,-0.009853243827819824,-0.012114167213439941,0.009691238403320312
EUR/USD,SELL,2011-02-04,base,REVERSING,EUR,-0.002260923385620117,0.00014841556549072266,0.033434152603149414
EUR/USD,SELL,2011-02-11,quote,REVERSING,USD,0.00240933895111084,0.021805405616760254,0.019936323165893555
EUR/USD,SELL,2011-02-18,quote,REVERSING,USD,0.019396066665649414,0.03328573703765869,0.040690064430236816
EUR/USD,BUY,2011-05-27,base,UNWINDING,EUR,0.035096049308776855,0.038060903549194336,0.013494253158569336
EUR/USD,BUY,2011-06-03,base,UNWINDING,EUR,0.0029648542404174805,-0.028693556785583496,0.0010919570922851562
EUR/USD,BUY,2011-06-10,quote,REVERSING,USD,-0.03165841102600098,-0.024566650390625,-0.015117049217224121
EUR/USD,BUY,2011-08-12,base,REVERSING,EUR,0.009802103042602539,0.014660954475402832,-0.03222250938415527
EUR/USD,SELL,2011-08-19,base,UNWINDING,EUR,0.004858851432800293,-0.006231069564819336,-0.04553425312042236
EUR/USD,SELL,2011-08-26,quote,REVERSING,USD,-0.011089920997619629,-0.046883463859558105,-0.08920753002166748
EUR/USD,SELL,2011-09-02,base,UNWINDING,EUR,-0.03579354286193848,-0.03930318355560303,-0.06762313842773438
EUR/USD,BUY,2011-09-09,base,REVERSING,EUR,-0.0035096406936645508,-0.042324066162109375,-0.047519803047180176
EUR/USD,BUY,2011-09-16,base,REVERSING,EUR,-0.038814425468444824,-0.028319954872131348,-0.013353943824768066
EUR/USD,BUY,2011-09-23,quote,REVERSING,USD,0.010494470596313477,-0.005195736885070801,0.029813528060913086
EUR/USD,BUY,2011-09-30,quote,REVERSING,USD,-0.015690207481384277,0.014966011047363281,0.05880939960479736
EUR/USD,SELL,2011-11-04,base,UNWINDING,EUR,-0.02198469638824463,-0.03718745708465576,-0.03629946708679199
EUR/USD,SELL,2011-11-11,base,UNWINDING,EUR,-0.015202760696411133,-0.027904987335205078,-0.026463866233825684
EUR/USD,SELL,2012-02-17,base,UNWINDING,EUR,0.02468287944793701,0.019587039947509766,-0.004806995391845703
EUR/USD,SELL,2012-06-22,base,UNWINDING,EUR,-0.01108705997467041,-0.01602017879486084,-0.027490854263305664
