source,,pair,publication_date,z,trend,widening,fwd_ret_1w,fwd_ret_2w,fwd_ret_4w,fwd_ret_8w
policy_rate,19816,GBP/CHF,2010-04-09,-1.0823565685893954,0.036042181818181696,False,-0.007899999618530273,0.011600017547607422,0.0026999711990356445,0.043200016021728516
policy_rate,19817,GBP/CHF,2010-04-16,-1.0695453483975037,0.03714218181818163,False,0.019500017166137695,0.015400052070617676,0.018800020217895508,0.04159998893737793
policy_rate,19818,GBP/CHF,2010-04-23,-1.0522436540039493,0.038942181818181654,False,-0.0040999650955200195,-0.008900046348571777,0.013399958610534668,-0.006999969482421875
policy_rate,19819,GBP/CHF,2010-04-30,-1.0368880237581013,0.02884218181818171,False,-0.004800081253051758,0.003399968147277832,0.029199957847595215,0.0002999305725097656
policy_rate,19820,GBP/CHF,2010-05-07,-1.0049975203963701,0.03241590000000005,False,0.00820004940032959,0.022300004959106445,0.04050004482269287,-0.025699973106384277
policy_rate,19821,GBP/CHF,2010-05-14,-1.0003749637246373,0.016015899999999972,False,0.014099955558776855,0.025799989700317383,0.022799968719482422,-0.05649995803833008
policy_rate,19822,GBP/CHF,2010-05-21,-0.9840075204676678,0.019715900000000064,False,0.011700034141540527,0.018200039863586426,-0.020399928092956543,-0.055500030517578125
policy_rate,19823,GBP/CHF,2010-05-28,-0.9756526492314137,0.014915899999999982,False,0.0065000057220458984,-0.003000020980834961,-0.02890002727508545,-0.04700005054473877
policy_rate,19824,GBP/CHF,2010-06-04,-0.9629357342795367,0.011815900000000046,False,-0.00950002670288086,-0.03859996795654297,-0.06620001792907715,-0.048799991607666016
policy_rate,19825,GBP/CHF,2010-06-11,-0.943572568881921,0.030933500000000003,False,-0.02909994125366211,-0.02590000629425049,-0.0792999267578125,-0.00950002670288086
policy_rate,19826,GBP/CHF,2010-06-18,-0.9311983546027023,0.03483350000000002,False,0.003199934959411621,-0.02760004997253418,-0.03510010242462158,-0.0065000057220458984
